Dierks Bentley	N/A	What Was I Thinkin'	F:\Music\Dierks Bentley\N_A\Dierks Bentley - 01 - What Was I Thinkin'.mp3
Raiden	Infection EP	Infection (E-Sassin rmx)	F:\Music\Dieselboy\Infection EP\Raiden - 07 - Infection (E-Sassin rmx).mp3
Digital Explosion		Hardcore Of The North	F:\Music\Digital Explosion\Unknown Album\Digital Explosion - Hardcore Of The North.mp3
Digital Unicorn	Their Travel Began And Loaded The Dream	My Name Is Buddy	F:\Music\Digital Unicorn\Their Travel Began And Loaded The D\Digital Unicorn - 01 - My Name Is Buddy.mp3
Digital Unicorn	Their Travel Began And Loaded The Dream	Get On The Jet	F:\Music\Digital Unicorn\Their Travel Began And Loaded The D\Digital Unicorn - 02 - Get On The Jet.mp3
Digital Unicorn	Their Travel Began And Loaded The Dream	How Do You Like Your Drums?	F:\Music\Digital Unicorn\Their Travel Began And Loaded The D\Digital Unicorn - 03 - How Do You Like Your Drums_.mp3
Digital Unicorn	Their Travel Began And Loaded The Dream	Winter In Danzig	F:\Music\Digital Unicorn\Their Travel Began And Loaded The D\Digital Unicorn - 05 - Winter In Danzig.mp3
Digital Unicorn	Their Travel Began And Loaded The Dream	Waiting Of Times	F:\Music\Digital Unicorn\Their Travel Began And Loaded The D\Digital Unicorn - 06 - Waiting Of Times.mp3
Digital Unicorn	Their Travel Began And Loaded The Dream	Digereenarnar	F:\Music\Digital Unicorn\Their Travel Began And Loaded The D\Digital Unicorn - 07 - Digereenarnar.mp3
Digital Unicorn	Their Travel Began And Loaded The Dream	Unicorn On Mountain Top Wind Blowing Through Mane	F:\Music\Digital Unicorn\Their Travel Began And Loaded The D\Digital Unicorn - 08 - Unicorn On Mountain Top Wind Blowing Through Mane.mp3
Digital Unicorn	Their Travel Began and Loaded the Dream	Interlude	F:\Music\Digital Unicorn\Their Travel Began And Loaded The D\Digital Unicorn - Interlude.mp3
Dirty Androids	Everglades / Diver	Everglades	F:\Music\Dirty Androids\Everglades _ Diver\Dirty Androids - 01 - Everglades.mp3
Dirty Androids	Everglades / Diver	Diver	F:\Music\Dirty Androids\Everglades _ Diver\Dirty Androids - 02 - Diver.mp3
Dirty Vegas		Put Your Body In Motion	F:\Music\Dirty Vegas\Unknown Album\Dirty Vegas - Put Your Body In Motion.mp3
DisasterPeace	Fez Soundtrack	Compass	F:\Music\DisasterPeace\Fez Soundtrack\DisasterPeace - Compass.mp3
Disney	Disney Greatest Hits	At the Beginning with You(Ft. Donna Lewis, Richard Marx)	F:\Music\Disney\Disney Greatest Hits\Disney - 00 - At the Beginning with You(Ft. Donna Lewis, Richard Marx).mp3
Disney	Disney Greatest Hits	Zero to Hero	F:\Music\Disney\Disney Greatest Hits\Disney - 09 - Zero to Hero.mp3
Disney	Driving With Disney	On My Way	F:\Music\Disney\Driving With Disney\Disney - 01 - On My Way.mp3
Disney	Driving With Disney	The Bare Necessities	F:\Music\Disney\Driving With Disney\Disney - 02 - The Bare Necessities.mp3
Disney	Driving With Disney	Hakuna Matata	F:\Music\Disney\Driving With Disney\Disney - 03 - Hakuna Matata.mp3
Disney	Driving With Disney	Under the Sea	F:\Music\Disney\Driving With Disney\Disney - 04 - Under the Sea.mp3
Disney	Driving With Disney	Chim Chim Cher-ee	F:\Music\Disney\Driving With Disney\Disney - 05 - Chim Chim Cher-ee.mp3
Disney	Driving With Disney	He's a Tramp	F:\Music\Disney\Driving With Disney\Disney - 06 - He's a Tramp.mp3
Disney	Driving With Disney	Ev'rybody Wants to Be a Cat	F:\Music\Disney\Driving With Disney\Disney - 07 - Ev'rybody Wants to Be a Cat.mp3
Disney	Driving With Disney	Heigh-Ho	F:\Music\Disney\Driving With Disney\Disney - 08 - Heigh-Ho.mp3
Disney	Driving With Disney	It's a Small World	F:\Music\Disney\Driving With Disney\Disney - 09 - It's a Small World.mp3
Disney	Driving With Disney	Little April Shower	F:\Music\Disney\Driving With Disney\Disney - 10 - Little April Shower.mp3
Disney	Driving With Disney	The Beautiful Briny	F:\Music\Disney\Driving With Disney\Disney - 11 - The Beautiful Briny.mp3
Disney	Driving With Disney	Supercalifragilisticexpialidocious	F:\Music\Disney\Driving With Disney\Disney - 12 - Supercalifragilisticexpialidocious.mp3
Disney	Driving With Disney	I'm Late	F:\Music\Disney\Driving With Disney\Disney - 13 - I'm Late.mp3
Disney	Driving With Disney	Bibbidi-Bobbidi-Boo	F:\Music\Disney\Driving With Disney\Disney - 14 - Bibbidi-Bobbidi-Boo.mp3
Disney	Driving With Disney	Following the Leader	F:\Music\Disney\Driving With Disney\Disney - 15 - Following the Leader.mp3
Disney	Driving With Disney	When I See an Elephant Fly	F:\Music\Disney\Driving With Disney\Disney - 16 - When I See an Elephant Fly.mp3
Disney	Driving With Disney	The Ugly Bug Ball	F:\Music\Disney\Driving With Disney\Disney - 17 - The Ugly Bug Ball.mp3
Disney	Driving With Disney	Beyond the Sea	F:\Music\Disney\Driving With Disney\Disney - 18 - Beyond the Sea.mp3
Disney	Driving With Disney	With a Friend	F:\Music\Disney\Driving With Disney\Disney - 19 - With a Friend.mp3
Disney	Driving With Disney	A Star Is Born	F:\Music\Disney\Driving With Disney\Disney - 20 - A Star Is Born.mp3
Disney	Driving With Disney	Tiki Tiki Tiki Room	F:\Music\Disney\Driving With Disney\Disney - 21 - Tiki Tiki Tiki Room.mp3
Disney	Driving With Disney	Jungle Rhythm	F:\Music\Disney\Driving With Disney\Disney - 22 - Jungle Rhythm.mp3
Disney	Driving With Disney	I'll Make a Man Out of You	F:\Music\Disney\Driving With Disney\Disney - 23 - I'll Make a Man Out of You.mp3
Disney	Driving With Disney	One Little Slip	F:\Music\Disney\Driving With Disney\Disney - 24 - One Little Slip.mp3
Disney	Driving With Disney	Beauty and the Beast	F:\Music\Disney\Driving With Disney\Disney - 25 - Beauty and the Beast.mp3
Disney	Driving With Disney	You've Got a Friend in Me	F:\Music\Disney\Driving With Disney\Disney - 26 - You've Got a Friend in Me.mp3
Disney	Driving With Disney	Mahna Mahna	F:\Music\Disney\Driving With Disney\Disney - 27 - Mahna Mahna.mp3
Disney	Driving With Disney	Circle Of Life	F:\Music\Disney\Driving With Disney\Disney - 28 - Circle Of Life.mp3
Disney	Driving With Disney	You'll Be In My Heart	F:\Music\Disney\Driving With Disney\Disney - 29 - You'll Be In My Heart.mp3
Disney	Driving With Disney	Whole New World	F:\Music\Disney\Driving With Disney\Disney - 30 - Whole New World.mp3
Disney	Driving With Disney	Reflection	F:\Music\Disney\Driving With Disney\Disney - 31 - Reflection.mp3
Disney	Driving With Disney	Go The Distance	F:\Music\Disney\Driving With Disney\Disney - 32 - Go The Distance.mp3
Disney	Driving With Disney	Colors Of The Wind	F:\Music\Disney\Driving With Disney\Disney - 33 - Colors Of The Wind.mp3
Disney	Driving With Disney	Part Of Your World	F:\Music\Disney\Driving With Disney\Disney - 34 - Part Of Your World.mp3
Disney	Driving With Disney	Once Upon A Dream	F:\Music\Disney\Driving With Disney\Disney - 35 - Once Upon A Dream.mp3
Disney	Driving With Disney	Zip-A-Dee-Doo-Dah	F:\Music\Disney\Driving With Disney\Disney - 36 - Zip-A-Dee-Doo-Dah.mp3
Disney	Driving With Disney	Wonderful Thing About Tiggers	F:\Music\Disney\Driving With Disney\Disney - 37 - Wonderful Thing About Tiggers.mp3
Disney	Driving With Disney	Never Smile At A Crocodile	F:\Music\Disney\Driving With Disney\Disney - 38 - Never Smile At A Crocodile.mp3
Disney	Driving With Disney	I Wan'na Be Like You (The Monkey Song)	F:\Music\Disney\Driving With Disney\Disney - 39 - I Wan'na Be Like You (The Monkey Song).mp3
Disney	Driving With Disney	Hi-Diddle-Dee-Dee (An Actor's Life For Me)	F:\Music\Disney\Driving With Disney\Disney - 40 - Hi-Diddle-Dee-Dee (An Actor's Life For Me).mp3
Disney	Driving With Disney	Whistle While You Work	F:\Music\Disney\Driving With Disney\Disney - 41 - Whistle While You Work.mp3
Disney	Driving With Disney	Unbirthday Song	F:\Music\Disney\Driving With Disney\Disney - 42 - Unbirthday Song.mp3
Disney	Driving With Disney	Mickey Mouse March	F:\Music\Disney\Driving With Disney\Disney - 43 - Mickey Mouse March.mp3
Disney	Driving With Disney	Casey Junior	F:\Music\Disney\Driving With Disney\Disney - 44 - Casey Junior.mp3
Disney	Driving With Disney	Yo, Ho (A Pirates Life For Me)	F:\Music\Disney\Driving With Disney\Disney - 45 - Yo, Ho (A Pirates Life For Me).mp3
Disney	Driving With Disney	Give A Little Whistle	F:\Music\Disney\Driving With Disney\Disney - 46 - Give A Little Whistle.mp3
Disney	Driving With Disney	Siamese Cat Song	F:\Music\Disney\Driving With Disney\Disney - 47 - Siamese Cat Song.mp3
Disney	Driving With Disney	Spoonful Of Sugar	F:\Music\Disney\Driving With Disney\Disney - 48 - Spoonful Of Sugar.mp3
Disney	Driving With Disney	I Just Can't Wait To Be King	F:\Music\Disney\Driving With Disney\Disney - 49 - I Just Can't Wait To Be King.mp3
Disney	Driving With Disney	Dancin' (A Catchy Rhythm)	F:\Music\Disney\Driving With Disney\Disney - 50 - Dancin' (A Catchy Rhythm).mp3
Disney	Driving With Disney	Hawaiian Roller Coaster Ride	F:\Music\Disney\Driving With Disney\Disney - 51 - Hawaiian Roller Coaster Ride.mp3
Disney	Driving With Disney	If I Didn't Have You	F:\Music\Disney\Driving With Disney\Disney - 52 - If I Didn't Have You.mp3
Disney	Mulan Soundtrack	A Girl Worth Fighting For	F:\Music\Disney\Mulan Soundtrack\Disney - 04 - A Girl Worth Fighting For.mp3
Mark Mancina	Tarzan	A Wondrous Place	F:\Music\Disney\Tarzan\Mark Mancina - 10 - A Wondrous Place.mp3
Mark Mancina	Tarzan	Moves Like an Ape, Looks Like a Man	F:\Music\Disney\Tarzan\Mark Mancina - 11 - Moves Like an Ape, Looks Like a Man.mp3
Mark Mancina	Tarzan	The Gorillas	F:\Music\Disney\Tarzan\Mark Mancina - 12 - The Gorillas.mp3
Mark Mancina	Tarzan	One Family	F:\Music\Disney\Tarzan\Mark Mancina - 13 - One Family.mp3
Phil Collins & Glenn Close	Tarzan	You'll Be In My Heart (Intro)	F:\Music\Disney\Tarzan\Phil Collins & Glenn Close - 02 - You'll Be In My Heart (Intro).mp3
Phil Collins & Rosie O'Donnell	Tarzan	Trashin' the Camp	F:\Music\Disney\Tarzan\Phil Collins & Rosie O'Donnell - 04 - Trashin' the Camp.mp3
Phil Collins & *NSYNC	Tarzan	Trashin' the Camp (Acapella)	F:\Music\Disney\Tarzan\Phil Collins & _NSYNC - 07 - Trashin' the Camp (Acapella).mp3
Phil Collins	Tarzan	Two Worlds (Overture)	F:\Music\Disney\Tarzan\Phil Collins - 01 - Two Worlds (Overture).mp3
Phil Collins	Tarzan	Son of Man	F:\Music\Disney\Tarzan\Phil Collins - 03 - Son of Man.mp3
Phil Collins	Tarzan	Strangers Like Me	F:\Music\Disney\Tarzan\Phil Collins - 05 - Strangers Like Me.mp3
Phil Collins	Tarzan	Two Worlds (Reprise)	F:\Music\Disney\Tarzan\Phil Collins - 06 - Two Worlds (Reprise).mp3
Phil Collins	Tarzan	You'll Be In My Heart	F:\Music\Disney\Tarzan\Phil Collins - 08 - You'll Be In My Heart.mp3
Phil Collins	Tarzan	Two Worlds	F:\Music\Disney\Tarzan\Phil Collins - 09 - Two Worlds.mp3
Phil Collins	Tarzan	Two Worlds (Finale)	F:\Music\Disney\Tarzan\Phil Collins - 14 - Two Worlds (Finale).mp3
Alan Menken	The Magic Of Disney (Disc 2)	Zero To Hero	F:\Music\Disney\The Magic Of Disney (Disc 2)\Alan Menken - 16 - Zero To Hero.mp3
Disney	The Prince of Egypt	Miracles	F:\Music\Disney\The Prince of Egypt\Disney - 14 - Miracles.mp3
Darlene Carr	Walt Disney’s The Jungle Book (30th Anniversary)	My Own Home	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\Darlene Carr - 15 - My Own Home.mp3
George Bruns	Walt Disney’s The Jungle Book (30th Anniversary)	Overture	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\George Bruns - 01 - Overture.mp3
George Bruns	Walt Disney’s The Jungle Book (30th Anniversary)	Baby	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\George Bruns - 02 - Baby.mp3
George Bruns	Walt Disney’s The Jungle Book (30th Anniversary)	Monkey Chase	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\George Bruns - 06 - Monkey Chase.mp3
George Bruns	Walt Disney’s The Jungle Book (30th Anniversary)	Tell Him	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\George Bruns - 07 - Tell Him.mp3
George Bruns	Walt Disney’s The Jungle Book (30th Anniversary)	Jungle Beat	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\George Bruns - 09 - Jungle Beat.mp3
George Bruns	Walt Disney’s The Jungle Book (30th Anniversary)	What'cha Wanna Do	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\George Bruns - 11 - What'cha Wanna Do.mp3
George Bruns	Walt Disney’s The Jungle Book (30th Anniversary)	Tiger Fight	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\George Bruns - 13 - Tiger Fight.mp3
George Bruns	Walt Disney’s The Jungle Book (30th Anniversary)	Poor Bear	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\George Bruns - 14 - Poor Bear.mp3
J. Pat O'Malley & Verna Felton	Walt Disney’s The Jungle Book (30th Anniversary)	Colonel Hathi's March	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\J. Pat O'Malley & Verna Felton - 03 - Colonel Hathi's March.mp3
J. Pat O'Malley & Verna Felton	Walt Disney’s The Jungle Book (30th Anniversary)	Colonel Hathi's March (reprise)	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\J. Pat O'Malley & Verna Felton - 08 - Colonel Hathi's March (reprise).mp3
Louis Prima & Phil Harris	Walt Disney’s The Jungle Book (30th Anniversary)	I Wan'na Be Like You	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\Louis Prima & Phil Harris - 05 - I Wan'na Be Like You.mp3
Phil Harris & Bruce Reitherman	Walt Disney’s The Jungle Book (30th Anniversary)	The Bare Necessities	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\Phil Harris & Bruce Reitherman - 04 - The Bare Necessities.mp3
Phil Harris, Sebastian Cabot	Walt Disney’s The Jungle Book (30th Anniversary)	The Bare Necessities (Reprise)	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\Phil Harris, Sebastian Cabot - 16 - The Bare Necessities (Reprise).mp3
Sterling Holloway	Walt Disney’s The Jungle Book (30th Anniversary)	Trust In Me	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\Sterling Holloway - 10 - Trust In Me.mp3
The Sherman Brothers	Walt Disney’s The Jungle Book (30th Anniversary)	Interview with the Sherman Brothers	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\The Sherman Brothers - 17 - Interview with the Sherman Brothers.mp3
Various	Walt Disney’s The Jungle Book (30th Anniversary)	That's What Friends Are For	F:\Music\Disney\Walt Disney’s The Jungle Book (30th\Various - 12 - That's What Friends Are For.mp3
Dixie Chicks	Fly	Ready To Run	F:\Music\Dixie Chicks\Fly\Dixie Chicks - 01 - Ready To Run.mp3
Dixie Chicks	Fly	Cowboy Take Me Away	F:\Music\Dixie Chicks\Fly\Dixie Chicks - 03 - Cowboy Take Me Away.mp3
Dixie Chicks	Fly	Hello Mr. Heartache	F:\Music\Dixie Chicks\Fly\Dixie Chicks - 06 - Hello Mr. Heartache.mp3
Dixie Chicks	Fly	Don't Waste Your Heart	F:\Music\Dixie Chicks\Fly\Dixie Chicks - 07 - Don't Waste Your Heart.mp3
Dixie Chicks	Fly	Some Days You Gotta Dance	F:\Music\Dixie Chicks\Fly\Dixie Chicks - 10 - Some Days You Gotta Dance.mp3
Dixie Chicks	Taking The Long Way	Lubbock Or Leave It	F:\Music\Dixie Chicks\Taking The Long Way\Dixie Chicks - 07 - Lubbock Or Leave It.mp3
DJ Bjra	Chiptune Remix	Unreeeal Superhero 3	F:\Music\DJ Bjra\Chiptune Remix\DJ Bjra - Unreeeal Superhero 3.mp3
Dj Dorfie		Durandal's Depression	F:\Music\Dj Dorfie\Unknown Album\Dj Dorfie - 01 - Durandal's Depression.mp3
DJ Evil		Sweet [Frieza Remix]	F:\Music\DJ Evil\Unknown Album\DJ Evil - Sweet [Frieza Remix].mp3
DJ Mary Jane	Rave Mix SE	Get in Trance	F:\Music\DJ Mary Jane\Rave Mix SE\DJ Mary Jane - Get in Trance.mp3
DJ Murphy Brown		Axel F 2003 (Original Club Mix)	F:\Music\DJ Murphy Brown\Unknown Album\DJ Murphy Brown - Axel F 2003 (Original Club Mix).mp3
DJ Mystik	lotus 3	I Need Your Love	F:\Music\DJ Mystik\lotus 3\DJ Mystik - 01 - I Need Your Love.mp3
DJ Sammy & Yanou Feat Do + Tomcraft	Ministry Of Sound The Annual 2008	Heaven (Acappella) + Loneliness	F:\Music\DJ Sammy & Yanou Feat Do + Tomcraft\Ministry Of Sound The Annual 2008\DJ Sammy & Yanou Feat Do + Tomcraft - 05 - Heaven (Acappella) + Loneliness.mp3
DJ Shadow	Endtroducing (US Vinyl)	Best Foot Forward	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 01 - Best Foot Forward.mp3
DJ Shadow	Endtroducing (US Vinyl)	Building Steam With a Grain of Salt	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 02 - Building Steam With a Grain of Salt.mp3
DJ Shadow	Endtroducing (US Vinyl)	The Number Song	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 03 - The Number Song.mp3
DJ Shadow	Endtroducing (US Vinyl)	Changeling	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 04 - Changeling.mp3
DJ Shadow	Endtroducing (US Vinyl)	Transmission 1	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 05 - Transmission 1.mp3
DJ Shadow	Endtroducing (US Vinyl)	Stem/Long Stem	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 06 - Stem_Long Stem.mp3
DJ Shadow	Endtroducing (US Vinyl)	Transmission 2	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 07 - Transmission 2.mp3
DJ Shadow	Endtroducing (US Vinyl)	Mutual Slump	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 08 - Mutual Slump.mp3
DJ Shadow	Endtroducing (US Vinyl)	Organ Donor	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 09 - Organ Donor.mp3
DJ Shadow	Endtroducing (US Vinyl)	Why Hip Hop Sucks in '96	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 10 - Why Hip Hop Sucks in '96.mp3
DJ Shadow	Endtroducing (US Vinyl)	Midnight In A Perfect World	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 11 - Midnight In A Perfect World.mp3
DJ Shadow	Endtroducing (US Vinyl)	Napalm Brain/Scatter Brain	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 12 - Napalm Brain_Scatter Brain.mp3
DJ Shadow	Endtroducing (US Vinyl)	What Does Your Soul Look Like (Part 1 - Blue Sky Revisit)	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 13 - What Does Your Soul Look Like (Part 1 - Blue Sky Revisit).mp3
DJ Shadow	Endtroducing (US Vinyl)	Transmission 3	F:\Music\DJ Shadow\Endtroducing (US Vinyl)\DJ Shadow - 14 - Transmission 3.mp3
DJ Shadow	Preemptive Strike	What Does Your Soul Look Like (Part 1)	F:\Music\DJ Shadow\Preemptive Strike\DJ Shadow - 08 - What Does Your Soul Look Like (Part 1).mp3
Sarah McLachlan, Delirium	Audio Underground (DJ Irene)	Silence (DJ Irene Remix)	F:\Music\DJ Skribble\Audio Underground (DJ Irene)\Sarah McLachlan, Delirium - 17 - Silence (DJ Irene Remix).mp3
dj TAKA	beatmania IIDX 7th style	Tomorrow Perfume	F:\Music\dj TAKA\beatmania IIDX 7th style\dj TAKA - 13 - Tomorrow Perfume.mp3
DJ Tiësto	In My Memory	Obsession	F:\Music\DJ Tiësto\In My Memory\DJ Tiësto - 05 - Obsession.mp3
DJ Tiësto feat. Aqualung	Just Be	UR	F:\Music\DJ Tiësto\Just Be\DJ Tiësto feat. Aqualung - 06 - UR.mp3
DJ Tiësto		Elements - Trance Mix	F:\Music\DJ Tiësto\Unknown Album\DJ Tiësto - Elements - Trance Mix.mp3
DJ Tiësto		Forbidden Paradise	F:\Music\DJ Tiësto\Unknown Album\DJ Tiësto - Forbidden Paradise.mp3
DJ. LOUI (FTB DJ Team)		Check This Out (DJ.BAZZ remix)	F:\Music\DJ. LOUI (FTB DJ Team)\Unknown Album\DJ. LOUI (FTB DJ Team) - Check This Out (DJ.BAZZ remix).mp3
Django Reinhardt	Integrale DJango Reinhardt CD	Blue Moon	F:\Music\Django Reinhardt\Integrale DJango Reinhardt CD\Django Reinhardt - 13 - Blue Moon.mp3
DJPon3	Youtube	DJPon3 Smooth Dubstep Mix	F:\Music\DJPon3\Youtube\DJPon3 - DJPon3 Smooth Dubstep Mix.mp3
DMX		We Right Here (radio)	F:\Music\DMX\Unknown Album\DMX - We Right Here (radio).mp3
Do Or Die feat. Twista		Po Pimp (Do You Wanna Ride)	F:\Music\Do Or Die feat. Twista\Unknown Album\Do Or Die feat. Twista - Po Pimp (Do You Wanna Ride).mp3
Doobie Brothers		It Keeps You	F:\Music\Doobie Brothers\Unknown Album\Doobie Brothers - 12 - It Keeps You.mp3
Doris Day		Great Feeling	F:\Music\Doris Day\Unknown Album\Doris Day - 13 - Great Feeling.mp3
Doris Day		Silvery Moon	F:\Music\Doris Day\Unknown Album\Doris Day - 14 - Silvery Moon.mp3
Doris Day		Secret Love	F:\Music\Doris Day\Unknown Album\Doris Day - 15 - Secret Love.mp3
Doris Day		I'll Never Stop Loving You	F:\Music\Doris Day\Unknown Album\Doris Day - 16 - I'll Never Stop Loving You.mp3
Douglas Sills	Scarlet Pimpernel	She Was There	F:\Music\Douglas Sills\Scarlet Pimpernel\Douglas Sills - 03 - She Was There.mp3
Douglas Sills	Scarlet Pimpernel	Prayer	F:\Music\Douglas Sills\Scarlet Pimpernel\Douglas Sills - 04 - Prayer.mp3
Douglas Sills	Scarlet Pimpernel	The Scarlet Pimpernel	F:\Music\Douglas Sills\Scarlet Pimpernel\Douglas Sills - 07 - The Scarlet Pimpernel.mp3
Down AKA Kilo		Lean Like a Cholo	F:\Music\Down AKA Kilo\Unknown Album\Down AKA Kilo - 03 - Lean Like a Cholo.mp3
Dr. Horrible's Sing-Along Blog	Dr. Horrible's Sing-Along Blog	With My Freeze Ray	F:\Music\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog - 02 - With My Freeze Ray.mp3
Dr. Horrible's Sing-Along Blog	Dr. Horrible's Sing-Along Blog	Man's Gotta Do	F:\Music\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog - 05 - Man's Gotta Do.mp3
Dr. Horrible's Sing-Along Blog	Dr. Horrible's Sing-Along Blog	Everybody's Heart	F:\Music\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog - 06 - Everybody's Heart.mp3
Dr. Horrible's Sing-Along Blog	Dr. Horrible's Sing-Along Blog	Story of a Girl	F:\Music\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog - 08 - Story of a Girl.mp3
Dr. Horrible's Sing-Along Blog	Dr. Horrible's Sing-Along Blog	Brand New Day	F:\Music\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog - 09 - Brand New Day.mp3
Dr. Horrible's Sing-Along Blog	Dr. Horrible's Sing-Along Blog	So They Say	F:\Music\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog - 10 - So They Say.mp3
Dr. Horrible's Sing-Along Blog	Dr. Horrible's Sing-Along Blog	Everyone's A Hero	F:\Music\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog - 11 - Everyone's A Hero.mp3
Dr. Horrible's Sing-Along Blog	Dr. Horrible's Sing-Along Blog	No Mercy	F:\Music\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog - 12 - No Mercy.mp3
Dr. Horrible's Sing-Along Blog	Dr. Horrible's Sing-Along Blog	Everything	F:\Music\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog - 13 - Everything.mp3
Dr. Horrible's Sing-Along Blog	Dr. Horrible's Sing-Along Blog	End Credits	F:\Music\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog\Dr. Horrible's Sing-Along Blog - 14 - End Credits.mp3
Dr.Dre feat Snoop Dogg		Still D R E (Radio Edit)	F:\Music\Dr.Dre feat Snoop Dogg\Unknown Album\Dr.Dre feat Snoop Dogg - Still D R E (Radio Edit).mp3
Dragon SoundTrack		Fist of Fury	F:\Music\Dragon SoundTrack\Unknown Album\Dragon SoundTrack - Fist of Fury.mp3
dropdatabase	Soundcloud	Through the Fire and the Trains	F:\Music\dropdatabase\Soundcloud\dropdatabase - Through the Fire and the Trains.mp3
Duke Ellington	Three Suites	Anitra's Dance	F:\Music\Duke Ellington\Three Suites\Duke Ellington - 14 - Anitra's Dance.mp3
Duncan Sheik	Daylight	On A High	F:\Music\Duncan Sheik\Daylight\Duncan Sheik - 06 - On A High.mp3
Tsukasa Masuko	Dungeon Explorer	Cherry Tower	F:\Music\Dungeon Explorer\Dungeon Explorer\Tsukasa Masuko - Cherry Tower.mp3
Duran Duran	Dance Hits of the 80's	The Reflex	F:\Music\Duran Duran\Dance Hits of the 80's\Duran Duran - 08 - The Reflex.mp3
Duran Duran		Rio	F:\Music\Duran Duran\Unknown Album\Duran Duran - 09 - Rio.mp3
Dynamite Hack		Boyz N Tha Hood	F:\Music\Dynamite Hack\Unknown Album\Dynamite Hack - Boyz N Tha Hood.mp3
Earth Wind and Fire		Brick House	F:\Music\Earth Wind and Fire\Unknown Album\Earth Wind and Fire - Brick House.mp3
Eddie Van Halen		Top Gun Theme	F:\Music\Eddie Van Halen\Unknown Album\Eddie Van Halen - Top Gun Theme.mp3
Eiffel 65	The Ultimate MP3 Zone	Move your body	F:\Music\Eiffel 65\The Ultimate MP3 Zone\Eiffel 65 - Move your body.mp3
Eisley	Sam's CD English	Plenty Of Paper	F:\Music\Eisley\Sam's CD English\Eisley - 14 - Plenty Of Paper.mp3
Eisley	Sam's CD English	Golly Sandra	F:\Music\Eisley\Sam's CD English\Eisley - 18 - Golly Sandra.mp3
Eisley	Sam's CD English	Memories	F:\Music\Eisley\Sam's CD English\Eisley - 20 - Memories.mp3
Electric Light Orchestra	Out of the Blue	Turn to Stone	F:\Music\Electric Light Orchestra\Out of the Blue\Electric Light Orchestra - 01 - Turn to Stone.mp3
Electric Light Orchestra	Out of the Blue	It's Over	F:\Music\Electric Light Orchestra\Out of the Blue\Electric Light Orchestra - 02 - It's Over.mp3
Electric Light Orchestra	Out of the Blue	Sweet Talkin' Woman	F:\Music\Electric Light Orchestra\Out of the Blue\Electric Light Orchestra - 03 - Sweet Talkin' Woman.mp3
